[2020-10-03T01:15:43.471]          Created an InitialAssignment for Compartment cell with value 1.0.
[2020-10-03T01:15:43.480]          Created an InitialAssignment for the Species EmptySet with value 0/cell
[2020-10-03T01:15:43.480]          There is nothing that defines the variability of Species EmptySet. It is declared constant.
[2020-10-03T01:15:43.481]          Created an InitialAssignment for the Species C2 with value 0/cell
[2020-10-03T01:15:43.481]          Created an InitialAssignment for the Species CP with value 0.75/cell
[2020-10-03T01:15:43.481]          Created an InitialAssignment for the Species M with value 0/cell
[2020-10-03T01:15:43.481]          Created an InitialAssignment for the Species pM with value 0.25/cell
[2020-10-03T01:15:43.481]          Created an InitialAssignment for the Species Y with value 0/cell
[2020-10-03T01:15:43.481]          Created an InitialAssignment for the Species YP with value 0/cell
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference reactant0. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference product1. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference product2. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference reactant3. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference product4. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference reactant5. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference product6. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference reactant7. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference reactant8. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference product9. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference reactant10. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference product11. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.482]          Missing initial value for SpeciesReference reactant12. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.483]          Missing initial value for SpeciesReference product13. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.483]          Missing initial value for SpeciesReference reactant14. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.483]          Missing initial value for SpeciesReference product15. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.483]          Missing initial value for SpeciesReference reactant16. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.483]          Missing initial value for SpeciesReference product17. Created an InitialAssignment with value 1.
[2020-10-03T01:15:43.483]          Missing initial value for SpeciesReference reactant18. Created an InitialAssignment with value 1.
